APP_NAME,PRIORITY,CATEGORY,POLICY,ISSUE_TITLE,SEVERITY,DATE_FOUND,#_OCCURRENCES,#_ISSUES
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","AWS S3 Bucket is configured for PUBLIC read access","Critical",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s cluster should not be exposed to public internet","Critical",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Open Source Security","Vulnerable dependency (CVE) in code","spring-web@5.3.19 is a Java direct dependency having 1 direct and 1 indirect vulnerabilities. CVE-2016-1000027 (CVSS:9.8_ Deserialization of Untrusted Data) is the most severe vulnerability.","Critical",12/5/2023,2,1
"OX-Security-Demo/Bank-Website",97,"Open Source Security","Vulnerable dependency (CVE) in code","jetty-server@9.3.20.v20170531 is a Java direct dependency having 12 direct and 2 indirect vulnerabilities. CVE-2017-7657 (CVSS:9.8_ Incorrect Calculation) is the most severe vulnerability.","Critical",12/5/2023,14,1
"OX-Security-Demo/Bank-Website",97,"Open Source Security","Vulnerable dependency (CVE) in code","spring-boot-starter-web@2.1.2.RELEASE is a Java direct dependency having 1 direct and 17 indirect vulnerabilities. CVE-2020-1938 (CVSS:9.8_ Improper Privilege Management) is the most severe vulnerability.","Critical",12/5/2023,18,1
"OX-Security-Demo/Bank-Website",97,"Secret/PII Scan","Secret in code","Active GitHub Access Token was found in the code of a private repository","Critical",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Open Source Security","Vulnerable dependency (CVE) in DockerFile base image","openjdk@8 is a base image defined in Dockerfile having 402 vulnerabilities. Top risk: CVE-2019-8457 (CVSS:9.8_ Buffer Overflow)","Critical",12/5/2023,402,1
"OX-Security-Demo/Multi-currency-management",97,"Secret/PII Scan","Secret in code","AWS Secret Key was found in the code of a public repository","Critical",12/5/2023,1,1
"OX-Security-Demo/Multi-currency-management",97,"Secret/PII Scan","Secret in code","GitHub Fine-Grained Personal Access Token was found in the code of a public repository","Critical",12/5/2023,1,1
"OX-Security-Demo/Multi-currency-management",97,"Secret/PII Scan","Secret in code","JFrog Registry Credentials was found in the code of a public repository","Critical",12/5/2023,1,1
"OX-Security-Demo/Multi-currency-management",97,"SBOM","Typosquatting dependency in code","serverles@3.27.1 is a JavaScript direct dependency typosquatting 'serverless'","Critical",12/5/2023,1,1
"*GitHub-Settings (OX-Security-Demo)",97,"SBOM","Dependency Confusion: Organization scope in code","The internal organization scope @private-org-scope-at-azure is open to dependency confusion attacks on the NPM public registry","Critical",12/5/2023,2,1
"*GitHub-Settings (OX-Security-Demo)",97,"SBOM","Dependency Confusion: Organization scope in code","The internal organization scope @org-private-scope-yarnrc-yml is open to dependency confusion attacks on the NPM public registry","Critical",12/5/2023,1,1
"OX-Security-Demo/Multi-currency-management",97,"Git Posture","Repo wiki publicly editable","Public wiki for repo is editable by anyone","Critical",12/5/2023,1,1
"michaelhorty/WebGoat",71,"Open Source Security","Vulnerable dependency (CVE) in DockerFile base image","openjdk@11.0.1-jre-slim-stretch is a base image defined in docker/Dockerfile having 296 vulnerabilities. Top risk: CVE-2017-12424 (CVSS:9.8_ Buffer Overflow)","Critical",12/5/2023,296,1
"michaelhorty/WebGoat",71,"Open Source Security","Vulnerable dependency (CVE) in DockerFile base image","openjdk@11.0.1-jre-slim-stretch is a base image defined in webgoat-server/Dockerfile having 296 vulnerabilities. Top risk: CVE-2017-12424 (CVSS:9.8_ Buffer Overflow)","Critical",12/5/2023,296,1
"michaelhorty/WebGoat",71,"Open Source Security","Vulnerable dependency (CVE) in DockerFile base image","resin/rpi-raspbian@jessie is a base image defined in webgoat-server/src/main/docker_rpi3/Dockerfile having 197 vulnerabilities. Top risk: CVE-2016-9841 (CVSS:9.8)","Critical",12/5/2023,197,1
"michaelhorty/WebGoat",71,"Open Source Security","Vulnerable dependency (CVE) in DockerFile base image","openjdk@11.0.1-jre-slim-stretch is a base image defined in webwolf/Dockerfile having 296 vulnerabilities. Top risk: CVE-2017-12424 (CVSS:9.8_ Buffer Overflow)","Critical",12/5/2023,296,1
"OX-Security-Demo/Bank-Website-Backend",69,"Secret/PII Scan","Secret in code","Active GitHub Access Token was found in the code of a private repository","Critical",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Open Source Security","Vulnerable dependency (CVE) in DockerFile base image","python@3.11.1 is a base image defined in Dockerfile having 1797 vulnerabilities. Top risk: CVE-2019-8457 (CVSS:9.8_ Buffer Overflow)","Critical",12/5/2023,1797,1
"OX-Security-Demo/Bank-Website-Backend",69,"Open Source Security","Vulnerable dependency (CVE) in DockerFile base image","datadog/agent@6.0.2 is a base image defined in Dockerfile.ddAgent having 182 vulnerabilities. Top risk: CVE-2017-12424 (CVSS:9.8_ Buffer Overflow)","Critical",12/5/2023,182,1
"OX-Security-Demo/Bank-Website-Backend",69,"Git Posture","Private repo fork detected","User's private repo is a fork of orgs private repo: mirox13","Critical",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Git Posture","Private repo fork detected","User's private repo is a fork of orgs private repo: eyalatox","Critical",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"Git Posture","Private repo fork detected","Former User's private repo is a fork of orgs private repo: JohnDow999","Critical",12/5/2023,1,1
"michaelhorty/vulpy",7,"Secret/PII Scan","Secret in code","Flask Secret Key was found in the code of a public repository","Critical",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s API Server should only accept API requests through HTTPS","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s API Server key-value store access should require client authentication","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s API Server should use better encryption providers","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s API Server should use strong cryptographic ciphers","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s API Server should not allow anonymous access","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s API Server does not authenticate securely with kubelets","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s API Server does not validate certificate","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s API Server is serving APIs through an insecure port","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s API Server does not validate service account token","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s API Server key-value store access does not require server authentication","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s Kubelet Server should not allow anonymous access","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","K8s Kubelet should only communicate through HTTPS","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","AWS S3 Object Versioning may not be enabled","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","AWS Virtual Private Cloud Flow logs not enabled","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","AWS Virtual Private Cloud default Security Group does not restrict all traffic","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","AWS Security Group allows all traffic on SSH port 22","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Infrastructure as Code Scan","IaC issue","AWS instances and launch configurations should use securely encrypted EBS volumes","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Open Source Security","Vulnerable dependency (CVE) in code","jjwt-jackson@0.10.5 is a Java direct dependency having 53 indirect vulnerabilities and no direct vulnerabilities. CVE-2019-14379 (CVSS:9.8_ Prototype Pollution) is the most severe vulnerability.","High",12/5/2023,53,1
"OX-Security-Demo/Bank-Website",97,"Secret/PII Scan","Secret in code","Base64 Slack Access Token was found in the code of a private repository","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Code Security","SAST issue","Potential SSRF via URL Input","High",12/5/2023,1,1
"OX-Security-Demo/Multi-currency-management",97,"Open Source Security","Vulnerable dependency (CVE) in code","express-fileupload@0.4.0 is a JavaScript direct dependency having 3 direct and 1 indirect vulnerabilities. CVE-2020-7699 (CVSS:9.8_ Prototype Pollution) is the most severe vulnerability.","High",12/5/2023,4,1
"OX-Security-Demo/Multi-currency-management",97,"Code Security","SAST issue","Reflected XSS via User Input in Express","High",12/5/2023,1,1
"OX-Security-Demo/Multi-currency-management",97,"SBOM","Deprecated direct dependency in code","Deprecated library directly referenced in code: apollo-server@3.11.1","High",12/5/2023,1,1
"OX-Security-Demo/Multi-currency-management",97,"SBOM","Deprecated direct dependency in code","Deprecated library directly referenced in code: axios@0.15.3","High",12/5/2023,1,1
"OX-Security-Demo/Multi-currency-management",97,"SBOM","Deprecated direct dependency in code","Deprecated library directly referenced in code: express-fileupload@0.4.0","High",12/5/2023,1,1
"OX-Security-Demo/Multi-currency-management",97,"SBOM","Deprecated direct dependency in code","Deprecated library directly referenced in code: rookout@0.1.130","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website",97,"Git Posture","Branch Protection not enforced","Code reviews may be bypassed via Push Events or Pull Requests with no review enforcement","High",12/5/2023,1,1
"OX-Security-Demo/Multi-currency-management",97,"Git Posture","Branch Protection not enforced","Code reviews may be bypassed via Push Events or Pull Requests with no review enforcement","High",12/5/2023,1,1
"OX-Security-Demo/Multi-currency-management",97,"Git Posture","Security Policy file missing in repo","Security Policy missing from public repo","High",12/5/2023,1,1
"OX-Security-Demo/Backend-Server",71,"Open Source Security","Vulnerable dependency (CVE) in code","play-json_2.13@2.7.4 is a Java direct dependency having 53 indirect vulnerabilities and no direct vulnerabilities. CVE-2022-36944 (CVSS:9.8_ Deserialization of Untrusted Data) is the most severe vulnerability.","High",12/5/2023,53,1
"OX-Security-Demo/Backend-Server",71,"Open Source Security","Vulnerable dependency (CVE) in code","commons-text@1.8 is a Java direct dependency having 1 direct vulnerability and no indirect vulnerabilities. CVE-2022-42889 (CVSS:9.8_ Code Injection) is the most severe vulnerability.","High",12/5/2023,1,1
"OX-Security-Demo/Backend-Server",71,"Secret/PII Scan","Secret in code","PGP Private Key was found in the code of a public repository","High",12/5/2023,1,1
"OX-Security-Demo/Backend-Server",71,"Open Source Security","Vulnerable dependency (CVE) in DockerFile base image","openjdk@8u332-jre-slim-bullseye is a base image defined in docker/hive/Dockerfile having 142 vulnerabilities. Top risk: CVE-2019-8457 (CVSS:9.8_ Buffer Overflow)","High",12/5/2023,142,1
"michaelhorty/WebGoat",71,"Secret/PII Scan","Secret in code","Generic Password was found in the code of a public repository","High",12/5/2023,3,1
"michaelhorty/WebGoat",71,"Secret/PII Scan","Secret in code","Generic Key was found in the code of a public repository","High",12/5/2023,1,1
"michaelhorty/WebGoat",71,"Secret/PII Scan","Secret in code","Generic Basic Authentication Password was found in the code of a public repository","High",12/5/2023,1,1
"michaelhorty/WebGoat",71,"Code Security","SAST issue","Potential SSRF via URL Input","High",12/5/2023,2,1
"michaelhorty/WebGoat",71,"Code Security","SAST issue","Path Traversal vulnerability due to user controlled path variables","High",12/5/2023,2,1
"michaelhorty/WebGoat",71,"Secret/PII Scan","PII embedded in code","Email Address is exposed in code","High",12/5/2023,4,1
"OX-Security-Demo/Backend-Server",71,"Git Posture","Security Policy file missing in repo","Security Policy missing from public repo","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"SBOM","Unapproved license used by direct dependency in code","Library with unapproved license directly referenced in code: ldap3@2.5.1 (GNU Lesser General Public License v3 (LGPLv3))","High",12/5/2023,1,1
"OX-Security-Demo/Bank-Website-Backend",69,"SBOM","Unapproved license used by direct dependency in code","Library with unapproved license directly referenced in code: python-gitlab@2.10.1 (LGPL-3.0)","High",12/5/2023,1,1
